row,col,x,y,elevation,slope,aspect,curvature,twi,lithology,target
789,731,627915.0,3024435.0,1605,36.49199,165.65067,0.00027777778,8.713283,1,0
1205,1587,653595.0,3011955.0,1849,34.96243,147.1622,-0.0022222223,8.769608,1,0
801,1822,660645.0,3024075.0,1411,23.00764,132.61406,0.004166667,9.856152,1,1
934,2146,670365.0,3020085.0,1521,28.867626,124.53082,-0.0011111111,9.477325,3,1
216,408,618225.0,3041625.0,4007,30.269156,226.7357,0.005,8.439494,1,0
872,2245,673335.0,3021945.0,2973,48.564804,186.75908,0.022777777,8.469397,3,1
941,2130,669885.0,3019875.0,1914,27.67569,45.643745,-0.008055556,8.834055,3,0
910,867,631995.0,3020805.0,1293,28.553305,207.34988,0.003611111,11.239547,1,1
427,1995,665835.0,3035295.0,2585,47.746754,177.83075,-0.011111111,8.092662,1,0
605,840,631185.0,3029955.0,1525,49.67668,162.7185,-0.023333333,6.6384177,2,1
608,844,631305.0,3029865.0,1345,53.217075,179.46454,0.007222222,7.8978434,2,1
516,575,623235.0,3032625.0,2986,65.7449,65.84092,0.015,7.3914566,1,0
911,1006,636165.0,3020775.0,1633,35.11364,58.570435,0.00027777778,8.946315,2,1
983,477,620295.0,3018615.0,1205,14.244158,203.1986,0.011111111,14.5534935,1,1
814,1193,641775.0,3023685.0,1388,42.26071,144.70665,0.008055556,10.810183,2,1
552,38,607125.0,3031545.0,3922,15.6490965,247.24902,0.0016666667,12.82849,1,0
415,405,618135.0,3035655.0,2858,35.7676,211.75949,-0.01,9.076304,1,0
1008,1736,658065.0,3017865.0,828,18.221186,270.72522,0.004166667,10.11073,1,0
822,655,625635.0,3023445.0,804,28.225693,207.75854,0.00027777778,13.170778,1,1
833,1463,649875.0,3023115.0,1585,18.735275,217.01068,0.0016666667,8.982267,1,0
953,2250,673485.0,3019515.0,1877,6.754584,39.289406,0.022777777,12.231589,1,1
585,857,631695.0,3030555.0,1635,33.395096,232.18854,-0.01,7.9121857,2,1
308,6,606165.0,3038865.0,4350,33.855537,202.26399,-0.0030555555,7.20161,1,1
503,399,617955.0,3033015.0,2189,25.213484,233.63713,-0.00083333335,10.194664,1,1
643,1130,639885.0,3028815.0,2607,52.151768,60.945396,0.0075,7.243264,1,0
1267,1389,647655.0,3010095.0,485,36.984924,335.1363,0.008055556,8.877656,2,1
283,2177,671295.0,3039615.0,4058,48.699097,227.3736,-0.0058333334,7.366059,1,0
589,1696,656865.0,3030435.0,1326,20.784542,107.241455,-0.010277778,7.7711487,1,1
372,329,615855.0,3036945.0,3301,22.259779,255.25644,0.00055555557,9.305115,1,0
860,1436,649065.0,3022305.0,1460,9.566236,81.46924,0.008888889,10.192467,1,0
403,638,625125.0,3036015.0,2663,27.404234,103.47782,-0.00027777778,10.349689,1,1
442,330,615885.0,3034845.0,2601,45.05609,235.84735,-0.009722223,9.365386,1,1
473,2027,666795.0,3033915.0,3212,44.38056,316.72525,0.00055555557,9.819752,1,1
33,1395,647835.0,3047115.0,1114,37.506386,173.4537,0.0013888889,10.062738,1,1
145,226,612765.0,3043755.0,4067,31.18775,283.9406,0.003611111,9.789284,1,0
857,2163,670875.0,3022395.0,1834,23.509655,233.56914,0.01,9.832,3,1
534,1979,665355.0,3032085.0,2360,32.584496,175.88777,-0.007222222,9.647913,1,1
1189,1243,643275.0,3012435.0,1198,23.553818,54.335,-0.00083333335,10.768164,2,0
737,1273,644175.0,3025995.0,819,39.476646,152.91644,0.028888889,9.075844,1,1
43,1401,648015.0,3046815.0,889,46.52144,178.41515,0.004722222,10.620462,1,1
475,2028,666825.0,3033855.0,3270,38.139534,346.18497,-0.0016666667,8.65363,1,1
881,736,628065.0,3021675.0,1384,8.997144,270.0,-0.0025,9.74406,1,0
